Resource,Group,Version,Commands
addons,k3s.cattle.io,v1,addon addons addons.k3s.cattle.io k3s.cattle.io/v1/addons
alerts,notification.toolkit.fluxcd.io,v1beta3,alert alerts alerts.notification.toolkit.fluxcd.io notification.toolkit.fluxcd.io/v1beta3/alerts
aliases,,,a alias aliases
apiservices,apiregistration.k8s.io,v1,apiregistration.k8s.io/v1/apiservices apiservice apiservices apiservices.v1.apiregistration.k8s.io
benchmarks,,,bench benchmark benchmarks
bindings,,v1,binding bindings v1/bindings
buckets,source.toolkit.fluxcd.io,v1,bucket buckets buckets.source.toolkit.fluxcd.io source.toolkit.fluxcd.io/v1/buckets
certificaterequests,cert-manager.io,v1,cert-manager.io/v1/certificaterequests certificaterequest certificaterequests certificaterequests.cert-manager.io crs
certificates,cert-manager.io,v1,cert cert-manager.io/v1/certificates certificate certificates certificates.cert-manager.io certs
certificatesigningrequests,certificates.k8s.io,v1,certificates.k8s.io/v1/certificatesigningrequests certificatesigningrequest certificatesigningrequests certificatesigningrequests.v1.certificates.k8s.io csr
challenges,acme.cert-manager.io,v1,acme.cert-manager.io/v1/challenges challenge challenges challenges.acme.cert-manager.io
clusterissuers,cert-manager.io,v1,cert-manager.io/v1/clusterissuers ciss clusterissuer clusterissuers clusterissuers.cert-manager.io
clusterrolebindings,,,crb
clusterrolebindings,rbac.authorization.k8s.io,v1,clusterrolebinding clusterrolebindings clusterrolebindings.v1.rbac.authorization.k8s.io rbac.authorization.k8s.io/v1/clusterrolebindings
clusterroles,,,cr
clusterroles,rbac.authorization.k8s.io,v1,clusterrole clusterroles clusterroles.v1.rbac.authorization.k8s.io rbac.authorization.k8s.io/v1/clusterroles
componentstatuses,,v1,componentstatus componentstatuses cs v1/componentstatuses
configmaps,,v1,cm configmap configmaps v1/configmaps
contexts,,,context contexts ctx
controllerrevisions,apps,v1,apps/v1/controllerrevisions controllerrevision controllerrevisions controllerrevisions.v1.apps
cronjobs,batch,v1,batch/v1/cronjobs cj cronjob cronjobs cronjobs.v1.batch
